,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact
0,10Power,http://10pwr.com/,Rainmaking,10Power provides project development and finance for renewable energy storage and generation in communities that lack access to electricity promoting clean water gender equality and ecosystem restoration. In Haiti 10Power has installed solar on water purification facilities providing drinking water to families and schools in surrounding communities each supporting over 300 micro enterprises (majority women owned). 10Power is currently executing on a $150M pipeline of high impact commercial and industrial solar projects in Haiti with international expansion plans. 10Power is decoupling GHG emissions from growth in emerging markets applying renewable energy and cutting edge technology to create quantum development for regenerative growth.,USA,7,Prosperity,7.1 Energy Access Solutions,To provide project development and finance for renewable energy storage.,United States of America
1,1Efficiency,1efficiency.com,Rainmaking,"1Efficiency offers an integrated suite of customer applications that includes a web based energy dashboard, a set of energy management reports available from the dashboard and email, alerts that can be delivered via email or mobile devices. Its energy management suite includes ENERGY INSIGHT™ - for property managers to monitor and control electricity, water and gas consumption, ENERGY REPORTS™ - energy management reports that are available via dashboard, PEAK DEMAND ALERTS™ - email or text based alerts, ENERGY SAVING CONCIERGE™ - savings engine to analyze potential savings for customers.",USA,7,Prosperity,7.4 Energy Enablers,Energy management suite,United States of America
2,21CC Education,21cceducation.com,Rainmaking,"21CC's offers courses for mid and higher level people in the transportation and logistics industry on topics like air, ocean and road transportation.",Netherlands,9,Prosperity,9.1 Innovative Logistics,21CC Recruitment & Training - Careers & Learning in Logistics,Netherlands/India/USA/Thailand
3,24SEA,24sea.eu,Rainmaking,"24SEA provides a suite of solutions for monitoring and engineering services in the offshore wind industry. Offers testing, inspection services and develops short & long-term energy and health monitoring systems for offshore turbine structures. With a core expertise in data analysis, offers solutions for structural dynamics, signal processing, system identification, and health monitoring using data mining techniques. Also, involved in the commissioning and decommissioning of the offshore turbine structures.",Belgium,7,Prosperity,7.1 Energy Access Solutions,Offshore monitoring and engineering service provider,Belgium
4,3B Ventures,https://3bvc.com,Rainmaking,3B Ventures is an early stage impact fund investing in exponential technology that will impact the lives of the next 3 billion. 3B funds entrepreneurs that have the passion to create a market disrupting innovation for the emerging world whilst making a noticeable difference in one of the Sustainable Development Goals.,Malaysia,9,Prosperity,9.4 Data-based SME financing for developing markets,Provider of AI consulting and data analytics services,Denmark
5,3d hubs,https://www.3dhubs.com/,Rainmaking,"3d printing is changing how products around the world are made. by connecting potential users to local 3d printer owners, 3d hubs’ sharing-based business model is accelerating a future of local, on-demand production. 3d printers can cost from $600 for basic units to more than $100,000 for higher-spec models , and they will often be under-utilised. to maximise usage and improve access for all, 3d hubs have created an online service that connects 3d printer owners with potential users. users upload a design, choose a nearby 3d printing location, pay for the service and pick up their product when it is finished printing. the company offers two-day delivery for products, which is five times faster than the industry standard, according to the company. the network currently boasts over 7,000 printing service providers in more than 150 countries. according to 3d hubs, the company’s platform solves the problem of access and efficiency in 3d printing by connecting up to one billion people worldwide to a 3d printer within ten miles of their home. in doing so, they are facilitating a future of local and on-demand manufacturing that can reduce overproduction of plastic products, limit storage requirements and cut transportation costs. we believe in local, community-based creation and on-demand production that solves the current inefficiency of centralized mass production. bram de zwart – ceo and co-founder, 3d hubs. why you should care mckinsey global institute estimates that the global 3d printing market could be worth $230 billion to $550 billion per year by 2025 . 3d printing enables prototypes, components and other goods to be made locally, which – if used responsibly – can reduce the environmental impacts of transport and industrial waste. 3d hubs is accelerating and democratizing this process by opening up the world of 3d printing to more users.",Netherlands,9,Prosperity,9.2 Advanced technologies for sustainable industry,creating access to 3d printers through sharing,africa
6,4NEW,https://4new.io/,Rainmaking,"The world's first eco-friendly, tangible Waste to Energy blockchain solution",United Kingdom,7,Prosperity,7.4 Energy Enablers,,UK
7,3F BIO,https://www.3fbio.com/,Rainmaking,"3fbio produces and supplies food, fuel, and feed by integrated fermentation. The company develops and commercializes a patented technology which transforms the production process for the meat-free food product, mycoprotein by integrating the production within existing bio-refinery operations producing bio-ethanol and animal feed. The company claims to produce mycoprotein using glucose syrup feedstock in an isolated process and bioethanol is produced through biorefinery operations with DDGS as a co-product. The company was incorporated is based in Glasgow, United Kingdom",United Kingdom,2,People,2.3 Postharvest Food Preservation,"Produces and supplies food, fuel, and feed by integrated fermentation",United Kingdom
8,3oun,http://3oun.com/,Rainmaking,"3oun is a platform for home maintenance services matching users with vetted handymen, as we care for the end users we also care about creating more jobs and a sustainable monthly income for handymen. ",,8,Prosperity,,Aoun is a home maintenance mobile application company.,
9,Aega,http://aega.no,Rainmaking,"aega asa is a solar utility company that acquires and operates solar power plants. the company currently owns a portfolio of seven individual solar parks in the umbria, lazio, abruzzo, emilia-romagna and lombardia regions in italy with a combined production capacity of 7mwp, and an initial annual electricity production of approximately 10gwh depending on the annual solar irradiation. the company focuses on acquisitions of smaller existing solar parks",Norway,7,Prosperity,7.2 Energy Sources,"Aega believes in long term investments in the solar power market, delivering high yields.",Emerging Markets
10,640 Labs,640labs.com,Rainmaking,"640Labs collects, stores and analyzes the agricultural data including weather and soil, and delivers it via cloud based platform to the farmers. The company built a plug-and-play wireless data tracking device to replace USB-stick collection methods which are normally used to collect field data.640Labs also provides analytics tool to farmers to make sense of these data. The company was acquired by Climate Corp in December 2014.",USA,2,People,2.1 AgTech for Sustainable Farming,Agricultural data platform,United States of America
11,6Grain,6grain.com,Rainmaking,"6th Grain Corporation provides a cloud-based software platform for farmers, governments, and institutional clients such as farm input suppliers and insurance companies to generate maps using data from multiple channels such as satellites, UAV, IoT devices etc. Offerings on the cloud-based platform include crop maps for wheat &amp; maize cropped areas using satellite, UAV, and sensor data, 6G Farmer Management Index map which is a map highlighting crop performance of maize crops independent of growing conditions, Seasonal Metrics which are maps generated using satellite and ancillary data for start, peak, and end of the season, 6G Ag-Risk Index which are reports generated using big data analytics for volatility of productivity and climate of cropped areas, and fertilizer advisory services using soil data for fertilizer prescriptions. It provides services currently in African and Asian countries.",Singapore,2,People,2.1 AgTech for Sustainable Farming,Software platform for data analytics using data from multiple channels,Singapore
12,720 Degrees,https://www.720.io/en/,Rainmaking,"720 Degrees is a cloud-based solution for monitoring the indoor environmental quality such as air quality, temperature, noise pollution, of smart infrastructures. Uses machine learning to automatically detect material emission, low relative humidity, recurring odors, rapid fluctuations in temperature and more. It collects & analyses data and then sends messages with suggestions to facility stakeholders on the required changes",Finland,8,Prosperity,,Monitoring the indoor environment prevents issues and improves quality in your facilities,Developed Markets
13,Aenarete,aenarete.eu,Rainmaking,Aenarete’s mission is to make Airborne Wind Energy a success story with small-scale “Wind Drones” and models.,Netherlands,7,Prosperity,7.2 Energy Sources,Designer and developer of wind drones,Netherlands
14,9Needs Pvt,http://9needs.com,Rainmaking,using blockchain to develop identity and contracting systems to let South African childhood development programmes register children and provide reliable database,South Africa,1,People,1.2 Digital Records that Empower the World's Poor,using blockchain to develop identity and contracting systems to let South African childhood development programmes register children and provide reliable database,South Africa
15,Aavia,https://aavia.io/,Rainmaking,Aavia is an app for medication adherence. It helps in tacking pills and medications. The app syncs with its smart pill case to help take your birth control pill on time. It gives reminders and custom messaging. The case has a Bluetooth connection to track the pregnancy-related medication.,USA,5,People,,Say Hello to regular periods and happy you,
16,Aay's Village,https://www.aaysvillage.com,Rainmaking,"We welcome 150 young students to educate themselves in our Learning Lab, and we have recently initiated a plastic recycling project called Clean the Jungle.",Laos,4,People,,"We are a small team from all around the world, working to provide children in a jungle community in Laos with the tools they need to create the future they deserve.",Emerging Markets; Frontier Markets
17,Abra,https://www.abra.com/,Rainmaking,a Bitcoin-based remittance application,USA,1,People,1.1 Mobile connectivity for financial inclusion,a digital wallet which supports bitcoin and over 50 fiat currencies.,United States of America
18,AirFusion,airfusion.com,Rainmaking,"Airfusion is a airborne sensor data fusion and analiytics technology company. Airfusion's platform fuses pixel based data to extract information from sensors and then analyze it real time. These findings are integrated with enterprise systems of customers to enable them to protect infrastructural assets. Airfusion partnered with Stratpro, an aerospace services company to bring to market Windspect, a turbine blade inspection software and analytics service,",USA,7,Prosperity,7.1 Energy Access Solutions,Analytics tool for air borne sensor data,United States
19,aligned energy,https://goexplorer.org/low-carbon-data-center-cooling/,Rainmaking,"aligned energy uses a combination of techniques to cool data centers in a way that is both cost-efficient and more sustainable than traditional cooling systems. the data centres that support our online lives consume huge amounts of energy for cooling — almost 2% of the global electricity supply in 2015, resulting in great cost not only to the environment, but also to the businesses that run data centres. aligned energy offers improvements to the triple bottom line through 80% and 85% cuts in energy and water use respectively. its system has also been assessed as one of the most secure and reliable on the market, minimising chances of downtime, which can cost serious money and reputational damage in the industry. this solution was featured in keeping it cool market of the 2018 global opportunity report , and was selected based on the criteria of that report.",USA,7,Prosperity,7.4 Energy Enablers,low-carbon data center cooling,United States of America
20,Academias,https//academias.jimdo.com/,Rainmaking,ACADEMIAS It’s the first platform in Morocco and Africa that offers young and working students the possibility of obtaining a Bachelor degree online from home without moving to the university each time and having difficulties with their job schedule.,,4,People,,"Academias is gespecialiseerd in op maat training, opleiding en coaching.",
21,Acadia Harvest,http://acadiaharvest.com/,Rainmaking,Acadia Harvest Inc. (AHI) was formed in early 2011 to develop a land based indoor marine fish farm leveraging novel technologies to enhance recirculating aquaculture systems (RAS). Two marine biologists Chris Heinig and Tap Pryor developed a shared vision for a new Maine based aquaculture company that would address some of the technological challenges and market opportunities in the aquaculture industry. A few months later the founders invited business advisor Ed Robinson to become a full partner in the business.,USA,14,Planet,14.5 Sustainable Seafood Solutions,Producing high quality sustainable seafood.,United States of America
