,Company,Source,SDG Goal,About,Twitter Handle,linkedin
,beamsmart.com,Rainmaking,1,0,,
,briteforcesoftware.com,Rainmaking,1,"About Us

Briteforce, Inc was incorporated in January 2012 to digitize the paper reporting security market using a web based model. In September 2012 security officers were dictating event reports and retrieving information from record management systems in the field.

In December 2012 image and video capabilities were added. In December 2014 there were over 700 security officers serving hospitals, public housing, private markets and municipalities. These field officers were supported by supervisors with real time oversight, dispatch centers, and management analytics.

 
",,
,civiguard.com,Rainmaking,1,We are a product lab focused on improving how citizens connect with first responders during emergencies.,,
,complete-em.com,Rainmaking,1,"Complete EM® was developed by many local, state, and federal emergency managers who have worked as planners, trainers, exercise directors, logisticians, incident commanders, emergency operations center directors, program managers, and executives. That’s what makes Complete EM®, well, great!

You can contact us if you want to hear more about our outstanding team and their accomplishments, but we know that waving around former titles and résumés never got a plan written better or faster. Ultimately, we want you to know us for the success you achieve by using our website. We're all about helping you develop and maintain an outstanding emergency management program.",,
,crisisflo.com,Rainmaking,1,0,,
,crisistrack.com,Rainmaking,1,"Track All Disaster Management Operations
Emergency Management coordinates activities from multiple departments and organizations. See how Crisis Track works specifically with each operation.",,
,crisisworks.com.au,Rainmaking,1,"Your complete system for managing emergencies and risk
Crisisworks is a complete system for managing emergencies, risk and recovery across the full lifecycle on any device.",,
,d4htechnologies.com,Rainmaking,1,"We are the #1 software for the readiness, response, and re-evaluation of emergencies and incidents worldwide. Every day, it is our duty to innovate efficiencies within our clients' response organizations.
 This is how we live our lives.
We don’t simply support responders, we all are responders. The team at D4H come from a wide variety of response backgrounds from public safety through to corporate crisis and emergency management. We have a duty to innovate; to keep improving our software using the latest technologies available.

From humble beginnings.
It all started with one simple idea, “how can today’s data improve tomorrow’s performance?”. D4H was founded in 2008 by Robin Blandford, combining his background in the Coast Guard with an accomplished team of computer scientists, first responders, and emergency managers.

Driven by a talented executive team, D4H has since injected global visibility into tens of thousands of operations run by our incredible customers on every continent in the world.
Tangible human outcomes.
We lead the field by leveraging our own experiences, constantly testing our solutions and striving to be the best at supporting your missions.

We serve you by providing tangible human outcomes to your operations. We trust that we’ll help you learn enough about yourselves today to ensure that you will always be ready for tomorrow.",,
,emalsys.eu,Rainmaking,1,,,
,emerge911.com,Rainmaking,1,,,
