,Unnamed: 0.1.1,name,description,Themes,SDG Goal,five Ps,new pred SDG,new pred five Ps,new Mistakes,SDG ok,Ps ok,Comments
0,282,GreenTech Energy,"GreenTech Energy installs and maintains hot water solar collectors based on unglazed collectors and evacuated tubes of all kinds. Its solar collectors are intended for the private sector, industrial processes, and other large or public consumers of hot water. The company combines solar systems, heat pumps, and control systems in order to achieve energy savings. 
 
 GreenTech Energy sells, builds, and operates energy-saving projects all across Israel.",,"6,7,12",Prosperity,7,Prosperity,1,TRUE,TRUE,
1,455,ResourCycle,ResourCycle develops technology for the global waste management industry.,,11,Prosperity,12,Prosperity,2,FALSE,TRUE,
2,199,Top Group Solution Source,"Top Group Solution Source develops project management solutions designed to improve and guide the educational process in schools and colleges.
 
 The company's Top School is a web-based application that provides integrated solutions for project management processes and internal control in all aspects of the educational process, including scheduling, exams, home-based jobs, marking, and information analysis. The application also enables internal communication between the administration, teachers, students, and parents.
 
 The company has also developed livetop, a web-based educational platform for learning, reporting, and sharing knowledge for colleges, universities, and schools.",,4,People,4,People,1,TRUE,TRUE,
3,227,Sologic,"Sologic is the developer of the eTree project, a social enterprise that seeks to promote environmental awareness and sustainability. The eTree is an independent unit powered by solar panels that provides a shaded recreational area with benches, a water trough for animals, a docking station for charging smartphones and tablets, night illumination, LCD screens, and Wi-Fi.
 
 The eTrees photovoltaic electricity system is composed of a group of solar panels that are connected to an inverter box. When sunlight hits the panels, DC electricity is produced by the solar cells and sent to the AC electric system via the inverter.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
4,395,SGTech,"Sustainable Green Technologies (SGTech) is a multidisciplinary clean technology and renewable energy company specializing in nutrient recovery, integrated biogas solutions, and water recycling, with a focus on the livestock industry.
 SGTech has developed the Integrated Ecosystem Solution, an anaerobic digestion technology. The technology produces enriched biogas and simultaneously removes and recovers nutrients from the waste stream (from livestock manure and slurry). Its patented, chemical-free waste management process enables the generation of biogas with methane content of 65%. 
 SGTech's process facilitates nutrient management and utilization of nitrogen and phosphorus from the digestate so they can be sustainably reused. The end products of the process are clean energy, reusable water, and a safe, solid fertilizer, which can be used for various operations in the livestock facility. The excess electricity, meanwhile, can be sold to the grid.
 In 2019, Frost & Sullivan recognized SGTech with the European Technology Innovation Award for the Integrated Ecosystem Solution.","Cleantech: 
cleaner
energy, cleaner water, and cleaner soil.","7,12","Prosperity,Planet",7,Prosperity,1,TRUE,TRUE,
5,118,Galcon,"Galcon manufactures water infrastructure controllers and cloud-based smart solutions for residential, turf, landscape, and agriculture customers.
 
 Galcon offers a diverse product line ranging from single, battery-operated, stand-alone controllers to multistation, wireless, web-based irrigation and fertigation systems. On commercial farms, the companys products are designed to increase yields through optimal irrigation while conserving valuable water resources and reducing energy consumption.", Water Management Systems,6,Planet,2,People,0,FALSE,FALSE,
6,316,Magen eco-Energy,"Magen eco-Energy specializes in the R&D, production, and marketing of solar swimming pool heating solutions, swimming pool water treatment systems, and corrosive-resistant heat exchangers. The company's heat exchangers are designed and built to operate for long periods in corrosive environments of inorganic acids, brines, and alkaline fluids in the metal finishing, semiconductor, chemical, and agricultural industries.
 
 At the core of Magen's product lines is its overmolding injection technology, which enables the manufacture of seamless, leak-proof, integrally molded thermoplastic units.
 
 Magen eco-Energy is fully owned by Kibbutz Magen.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
7,169,Tzora Active Systems,"Tzora Active Systems develops and markets mobility and exercise products for people with impaired mobility. The companys mobility devices are safe to use and easy to maneuver, fold, lift, and store. Tzora Active Systems also develops smart exercise machines that provide both an active and passive rehabilitation workout for physically challenged individuals.
 
 The companys Easy Travel is a line of lightweight three- and four-wheeled collapsible electrical scooters. The Samson Power Drive is Tzoras line of user-friendly add-on power drive units, which facilitate the maneuverability of manual wheelchairs. Tzoras Active Passive Trainers are rehabilitation training machines designed for both active and passive workouts.",,"10,3","Prosperity,People",3,People,1,TRUE,TRUE,
8,139,ToxSorb,"ToxSorb is a water technology company specializing in the design, construction, and operation of customized filtration systems using its proprietary Modified Activated Carbon (MAC) media, which is engineered to remove specific contaminants from water. ToxSorb customizes each solution to the unique water chemistry and effluent needs of the client.
 
 MAC is a chemical modification of traditional activated carbon, enabling the removal of a wide range of inorganic pollutants while maintaining its original absorption capability for organic pollutants. Each MAC platform is designed to have selectivity and affinity toward a specific pollutant while ignoring nonessential molecules in the water. This allows MAC to outperform traditional ion exchange systems (e.g. resins) in real-life conditions where the target pollutant is competing with other ions.
 
 MAC is NSF-approved for chromium, arsenic, and perchlorate removal in drinking water and has been successfully proven to remove phosphate, sulfate, nitrate, nickel, copper, permanganate, silver, zinc, cyanide, and more. It is also durable and reusable, keeping maintenance costs low. MAC has been used in drinking water, groundwater remediation, domestic wastewater treatment, mining, and surface-finishing projects in Israel, Italy, and the U.S.",,6,Planet,6,People,5,TRUE,FALSE,
9,20,Wheelchairs of Hope,"Wheelchairs of Hope is aiming to provide proper fit and postural support to meet the most common needs of disabled children. The company develops wheelchairs for kids and teens in developing countries. The lightweight wheelchairs, which cost less than $100, are used by physically disabled children to access education.
 Wheelchairs of Hope is a joint collaboration between Alyn Hospital, Pablo Kaplan, and Chava Rotshtein of Sharp Mentoring.",,"4,10",People,10,People,1,TRUE,TRUE,
