Link,Company,About,Location,Website,tags,line,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
https://finder.startupnationcentral.org/company_page/guardknox,GuardKnox,"GuardKnox is the world’s first Cybertech Tier supplier providing optimized and cybersecure high-performance computing platforms. With roots and extensive experience in secure avionics, defense aviation, and embedded systems, GuardKnox is navigating the steep learning curve for the development of cutting-edge platforms and architecture design for the automotive industry.
GuardKnox’s expertise and inherent flexibility facilitates a variety of implementations including full hardware and software solutions, software only (integrated into existing hardware) or built-to-spec. Empowering Tier 1s, OEM’s, and other mobility players across the automotive ecosystem with the freedom to evolve to cost-effectively meet the challenges of rapid change and capability deployment
The Cybertech Tier is a new category on the automotive supply chain designed to complement OEMs and traditional tier suppliers, offering a suite of innovative products and solutions that will usher in the next generation of software-defined and service-oriented vehicles. Cybertech Tier suppliers consolidate components and applications from other tier suppliers into integrated products that are high-performing, cost-effective, and secure by design.

",ISRAEL,http://www.guardknox.com/,"connected-vehicles,cyber-security,vehicle-technology,hardware,autonomous-vehicles,road-safety,security,fleet-management,smart-mobility,driver-safety,automotive,",High-Performance and Cybersecure Computing Platforms,,,,,
https://finder.startupnationcentral.org/company_page/vhola,VHOLA,"VHOLA developed an embedded in-vehicle solution, enabling control and optimization of the electromagnetic radiation levels inside the passenger cabin, taking into consideration local regulations, cabin occupancy, passenger preferences, driving conditions, and other factors.
",ISRAEL,https://v-hola.com,"electric-vehicles,patent-pending,emr,electricity,safety,smart-mobility,radiation-protection,power-management,automotive,",In-vehicle Electromagnetic Radiation Detection,,,,,
https://finder.startupnationcentral.org/company_page/paxxi,Paxxi,"Paxxi provides last-mile delivery solutions for traditional businesses, e-retailers, and consumers. The company's delivery management platform enables fast, secure, and cost-effective last-mile delivery solutions by consolidating local and global couriers into a comprehensive end-to-end system.
",ISRAEL,http://paxxi.net,"social-commerce,cross-platform,tracking,last-mile,delivery,logistics,crowdsourcing,location-based,marketplace,smart-mobility,enterprises,online-retailers,smb,",Crowdsourced Delivery Platform,,,,,
https://finder.startupnationcentral.org/company_page/timestamp,TimeStamp,"TimeStamp has developed a solution for incorporating medication adherence data into everyday healthcare. The company’s proprietary Smart Stickers are designed to add connectivity and IoT functionality to existing drug-delivery devices and packages.
The usage data is uploaded to TimeStamp’s adherence data cloud, which is accessible by patients, physicians, and healthcare systems. TimeStamp’s solution is not dependent on patient engagement.
",ISRAEL,https://www.timestamp.global,"inhalation,monitoring,decision-making,adherence,medical-products,drug-delivery,digital-healthcare,asthma,mobile-applications,pulmonary,respiratory,medical-devices,insurance-companies,chronic-patients,doctors,",Smart Sticker Technology for Tracking Medication Adherence,,,,,
