,Unnamed: 0,name,description,SDG Goal,five Ps,Unnamed: 0.1,company id,active,finder_url,tag_line,tags,corona_description,homepage,founded,company stage,had_exit,exit_type,exit_date,exit_quarter,exit_half,exit_amount,exit_acquired_by_or_stock_exchange,exit_acquired_by_or_stock_exchange_key,exit_by_country,employees,product_stage,business_model,closing_date,closing_reason,products,alternative_names,former_names,abroad_countries,geographical_markets,registrar_id,total_funding,total_equity_funding,Unnamed: 33
282,282,GreenTech Energy,"GreenTech Energy installs and maintains hot water solar collectors based on unglazed collectors and evacuated tubes of all kinds. Its solar collectors are intended for the private sector, industrial processes, and other large or public consumers of hot water. The company combines solar systems, heat pumps, and control systems in order to achieve energy savings. 

GreenTech Energy sells, builds, and operates energy-saving projects all across Israel.",7,Prosperity,282,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAgN7RhucIDA,1,https://finder.startupnationcentral.org/company_page/greentech-energy,Solar Hot Water and Solar Pool Heaters,"cleantech, commercial-sites, energy, energy-efficiency, energy-saving, heating, hotels, renewable-energy, residential-sites, sdg, solar-collectors, solar-energy, solar-thermal-energy, swimming-pools, water-heating",,http://www.gte-systems.com/,2008-07-01 00:00:00,Revenue Financed,0,,,,,,,,,2020-10-01 00:00:00,Released,b2b,,,"SunMaxx,GoldSun","Green-Tech Energy,GTE systems",,,Worldwide,514167626,,,
455,455,ResourCycle,ResourCycle develops technology for the global waste management industry.,9,Prosperity,455,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAwK2XsJYKDA,1,https://finder.startupnationcentral.org/company_page/resourcycle,Waste Management Solution,"cleantech, commercial-sites, manufacturing-facilities, municipalities, recycling, residential-sites, sdg, waste-management",,http://www.resourcycle.com,2016-11-01 00:00:00,Bootstrapped,0,,,,,,,,,2020-10-01 00:00:00,R&D,"b2b,b2g",,,,,,,"USA, Israel",,,,
266,266,BioBee Sde Eliyahu,"BioBee Sde Eliyahu specializes in biologically integrated pest management (IPM), providing farmers with beneficial predatory insects and mites as an alternative to harsh chemical pesticides. The company also offers professional field services to better implement their tailor-made IPM programs.

BioBee produces Phytoseiulus persimilis, an effective natural predator of Tetranychus urticae, the red spider mite. The company also produces and provides bumblebees for natural pollination in greenhouses and open fields.

Under the BioFly brand, the company markets a comprehensive and environmentally friendly solution designed to control Mediterranean fruit flies, which attack and destroy crops worldwide. It also supplies sterilized male pupae and sterile male flies ready for dispersal in agricultural fields. BioFly's production facility can produce approximately 75 million pupae a week.

BioBee has six subsidiaries and five production sites as well as global distribution channels.",2,Planet,266,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAgN793rALDA,1,https://finder.startupnationcentral.org/company_page/biobee,Beneficial Insects for Pollination and Pest Management,"agtech, bees, biopesticides, biotechnology, crops, eco-friendly, insects, organic, pest-control, pest-management, pesticides, plant-protection, pollination, sdg",,http://www.biobee.com/,1983-02-01 00:00:00,Established,0,,,,,,,,,201-500,Released,b2b,,,"BioMacrolophus,BioCucumeris,Bombus Terrestris,BioCalifornicus,BioTrichogramma,BioAphidius,BioCryptolaemus,BioOrius,BioNephus,BioDiglyphus,BioAnagyrus,BioAlgirica,BioSwirski,BioPersimilis,BioPerminutus","Biobee,Bio-Bee,BioBee,bio bee,bio fly",,,"India, South Africa, Chile, Colombia, USA, Russia",511693830,,,
199,199,Top Group Solution Source,"Top Group Solution Source develops project management solutions designed to improve and guide the educational process in schools and colleges.

The company's Top School is a web-based application that provides integrated solutions for project management processes and internal control in all aspects of the educational process, including scheduling, exams, home-based jobs, marking, and information analysis. The application also enables internal communication between the administration, teachers, students, and parents.

The company has also developed livetop, a web-based educational platform for learning, reporting, and sharing knowledge for colleges, universities, and schools.",4,People,199,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAgN6WmbUJDA,1,https://finder.startupnationcentral.org/company_page/top-group-solution-source,Project Management Solutions for Education,"academia, classroom-management, e-learning, edtech, knowledge-sharing, school-management, schools, sdg, students, teachers",,http://www.itopgroup.net,2006-03-01 00:00:00,Revenue Financed,0,,,,,,,,,2020-10-01 00:00:00,Released,"b2b,b2b2c",,,"Livetop,Top School",edunation,,,,513764639,,,
227,227,Sologic,"Sologic is the developer of the eTree project, a social enterprise that seeks to promote environmental awareness and sustainability. The eTree is an independent unit powered by solar panels that provides a shaded recreational area with benches, a water trough for animals, a docking station for charging smartphones and tablets, night illumination, LCD screens, and Wi-Fi.

The eTrees photovoltaic electricity system is composed of a group of solar panels that are connected to an inverter box. When sunlight hits the panels, DC electricity is produced by the solar cells and sent to the AC electric system via the inverter.",7,Prosperity,227,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAgN6n_KALDA,1,https://finder.startupnationcentral.org/company_page/sologic,Renewable Energy Systems,"cleantech, commercial-sites, electricity, energy, municipalities, photovoltaics, renewable-energy, residential-sites, sdg, smart-city, solar-energy, solar-lighting, wifi",,http://sol-logic.com/homepage/,2008-10-01 00:00:00,Revenue Financed,0,,,,,,,,,2020-10-01 00:00:00,Released,"b2b,b2b2c,b2g",,,eTree,Sol-logic,,,"China, France",514175173,,,
446,446,Avenews,"Avenews developed a digital infrastructure that connects agriculture businesses with financial services. Businesses can use the Avenews platform to onboard their network of suppliers and customers and digitally manage their entire operations including contracts, invoices, purchase orders, and payments. 
Every interaction is stored in a verified and vetted asset on the Avenews blockchain, creating a digital economic identity for every business across the supply chain. This enables them to apply for working capital, loans, insurance, and many other financial services provided by financial institutions on the platform.

The Avenews platform enables financial institutions to digitize new and existing financial products, such as credit cards, loans, and insurance, and provide them directly on the platform. This can be done through a digital economic identity that is created for agriculture businesses on Avenews. The digital identity enables financial institutions to assess business performance data, reduce risks, and remove barriers to their services.",2,People,446,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAwJOLn5IKDA,1,https://finder.startupnationcentral.org/company_page/avenews-gt,Financial Services for Agriculture Businesses,"agribusiness, agriculture, agtech, banks, blockchain, ecommerce, farm-to-consumer, farmers, financial-institutions, fintech, food-and-beverage, foodtech, logistics, management-solutions, marketplace, mobile-applications, postharvest, retailers, sdg, shipping, smallholder-farms, suppliers, supply-chain",,https://www.avenews-gt.com/,2017-04-01 00:00:00,Seed,0,,,,,,,,,2020-10-01 00:00:00,Released,b2b,,,"Avenews Agribusiness Trade Platform,Avenews Financial Services Integrator","Avenews,Avenewsgt,Avenews-GT,Avenews GT,Aveneus-GT",,,Worldwide,515636520,600000.0,600000.0,
395,395,SGTech,"Sustainable Green Technologies (SGTech) is a multidisciplinary clean technology and renewable energy company specializing in nutrient recovery, integrated biogas solutions, and water recycling, with a focus on the livestock industry.
SGTech has developed the Integrated Ecosystem Solution, an anaerobic digestion technology. The technology produces enriched biogas and simultaneously removes and recovers nutrients from the waste stream (from livestock manure and slurry). Its patented, chemical-free waste management process enables the generation of biogas with methane content of 65%. 
SGTech's process facilitates nutrient management and utilization of nitrogen and phosphorus from the digestate so they can be sustainably reused. The end products of the process are clean energy, reusable water, and a safe, solid fertilizer, which can be used for various operations in the livestock facility. The excess electricity, meanwhile, can be sold to the grid.
In 2019, Frost & Sullivan recognized SGTech with the European Technology Innovation Award for the Integrated Ecosystem Solution.",2,People,395,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAoNHm9LUKDA,1,https://finder.startupnationcentral.org/company_page/sgtech,Waste Treatment and Biogas Production,"agriculture, agtech, biogas, fertilizers, livestock, renewable-energy, sdg, waste-management, waste-water, water-recycling, water-treatment",,http://sgtech.co.il/,2015-01-01 00:00:00,A,0,,,,,,,,,1950-11-01 00:00:00,Released,b2b,,,Integrated Ecosystem Solution,"Sustainable Green Technologies,S.G.T.-SUSTAINABLE GREEN TECHNOLOGIES,SG-Tech",,,"USA, Europe, Israel",514398213,8000000.0,8000000.0,
118,118,Galcon,"Galcon manufactures water infrastructure controllers and cloud-based smart solutions for residential, turf, landscape, and agriculture customers.

Galcon offers a diverse product line ranging from single, battery-operated, stand-alone controllers to multistation, wireless, web-based irrigation and fertigation systems. On commercial farms, the companys products are designed to increase yields through optimal irrigation while conserving valuable water resources and reducing energy consumption.",2,People,118,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAgL6s3_0KDA,1,https://finder.startupnationcentral.org/company_page/galcon,Control Systems for Water Infrastructures,"agriculture, agtech, cleantech, control-systems, crops, fertigation, gardening, greenhouses, hardware, irrigation, irrigation-and-water-management, mobile-applications, monitoring, municipalities, residential-sites, sdg, smart-farming, smart-irrigation, water, water-saving, water-usage-management",,http://galconc.com/,1983-01-01 00:00:00,Established,0,,,,,,,,,51-200,Released,"b2b,b2c,b2g",,,Galcon Smart,"Galcon Bakarim,Agricultural Cooperative Society",,"United States,Chile",Worldwide,570048512,,,
412,412,PoultriX,"PoultriX provides a software platform designed to help farmers manage their entire poultry life cycle. Farmers raising broilers, breeders, layers, and turkeys can benefit from the platforms automated monitoring, analysis, and tracking abilities.

The companys platform organizes information and documents from the first stage in the chain of production (parent flocks) through the sale of meat products and table eggs. The data is displayed on a dashboard that provides users with real-time flock monitoring and alerts, including mortality and feed and water usage, and actionable insights aimed at lowering expenses and increasing revenues. The solution also displays livestock sales and medical details such as vaccination data.

The Poltrix platform can also be adjusted to facilitate a smart farming life cycle for verticals including geese, swine, and fish.",2,People,412,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAoOms_YYKDA,1,https://finder.startupnationcentral.org/company_page/poultrix,Farm Management Platform,"agtech, artificial-intelligence, cloud-based, farm-management, farmers, livestock, mobile-applications, monitoring, monitoring-software, poultry, saas, sdg, smart-farming",,https://www.poultrix.com/,2016-01-01 00:00:00,Pre-Seed,0,,,,,,,,,2020-10-01 00:00:00,Released,b2b,,,PoultriX,"PoultriX Ltd.,PoultriX",Integsoft,,"Israel, Georgia",515414837,,,
316,316,Magen eco-Energy,"Magen eco-Energy specializes in the R&D, production, and marketing of solar swimming pool heating solutions, swimming pool water treatment systems, and corrosive-resistant heat exchangers. The company's heat exchangers are designed and built to operate for long periods in corrosive environments of inorganic acids, brines, and alkaline fluids in the metal finishing, semiconductor, chemical, and agricultural industries.

At the core of Magen's product lines is its overmolding injection technology, which enables the manufacture of seamless, leak-proof, integrally molded thermoplastic units.

Magen eco-Energy is fully owned by Kibbutz Magen.",7,Prosperity,316,agxzfmlsbGlzdHNpdGVyGAsSC05ld19Db21wYW55GICAgN7q_a4JDA,1,https://finder.startupnationcentral.org/company_page/magen-eco-energy,Solar Thermal Solutions,"agriculture, agtech, cleantech, energy, environmental-control, greenhouses, heat-exchangers, heating, industrial-applications, injection-molding, manufacturing-facilities, novel-farming-systems, plastics, polymers, renewable-energy, sdg, solar-thermal-energy, swimming-pools, water-heating",,http://www.magen-ecoenergy.com/,1973-01-01 00:00:00,Established,0,,,,,,,,,1950-11-01 00:00:00,Released,"b2b,b2c,b2g",,,My Pool,"Magen energy,Magen ecoenergy",Plastic Magen,,"Germany, Australia, Brazil, Worldwide, USA",570045195,,,
